month,naics_code,kind_of_business,value
2024-09-01,443.0,Electronics and appliance stores,7421.0
2024-09-01,444.0,Building mat. and garden equip. and supplies dealers,41744.0
2024-09-01,4441.0,Building mat. and supplies dealers,36486.0
2024-09-01,445.0,Food and beverage stores,83962.0
2024-09-01,4451.0,Grocery stores,75140.0
2024-09-01,4453.0,"Beer, wine and liquor stores",6182.0
2024-09-01,446.0,Health and personal care stores,38541.0
2024-09-01,44611.0,Pharmacies and drug stores,32451.0
2024-09-01,447.0,Gasoline stations,51412.0
2024-09-01,448.0,Clothing and clothing access. stores,26264.0
2024-09-01,4481.0,Clothing stores,18552.0
2024-09-01,44812.0,Women's clothing stores,2946.0
2024-09-01,4482.0,Shoe stores,3077.0
2024-09-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8274.0
2024-09-01,452.0,General merchandise stores,76190.0
2024-09-01,4521.0,Department stores,10887.0
2024-09-01,4529.0,Other general merchandise stores,65303.0
2024-09-01,45291.0,Warehouse clubs and superstores,56079.0
2024-09-01,45299.0,All other gen. merchandise stores,9224.0
2024-09-01,453.0,Miscellaneous stores retailers,15582.0
2024-09-01,454.0,Nonstore retailers,124638.0
2024-09-01,4541.0,Electronic shopping and mail order houses,115935.0
2024-09-01,45431.0,Fuel dealers,2944.0
2024-09-01,722.0,Food services and drinking places,96284.0
2024-08-01,441.0,Motor vehicle and parts dealers,133939.0
2024-08-01,4413.0,"Automotive parts, acc., and tire stores",11545.0
2024-08-01,442.0,Furniture and home furnishings stores,11254.0
2024-08-01,443.0,Electronics and appliance stores,7640.0
2024-08-01,444.0,Building mat. and garden equip. and supplies dealers,41274.0
2024-08-01,4441.0,Building mat. and supplies dealers,36114.0
2024-08-01,445.0,Food and beverage stores,83305.0
2024-08-01,4451.0,Grocery stores,74559.0
2024-08-01,4453.0,"Beer, wine and liquor stores",6122.0
2024-08-01,446.0,Health and personal care stores,37742.0
2024-08-01,44611.0,Pharmacies and drug stores,31739.0
2024-08-01,447.0,Gasoline stations,52164.0
2024-08-01,448.0,Clothing and clothing access. stores,26053.0
2024-08-01,4481.0,Clothing stores,18547.0
2024-08-01,44812.0,Women's clothing stores,3042.0
2024-08-01,4482.0,Shoe stores,3131.0
2024-08-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8159.0
2024-08-01,452.0,General merchandise stores,75662.0
2024-08-01,4521.0,Department stores,10839.0
2024-08-01,4529.0,Other general merchandise stores,64823.0
2024-08-01,45291.0,Warehouse clubs and superstores,55624.0
2024-08-01,45299.0,All other gen. merchandise stores,9199.0
2024-08-01,453.0,Miscellaneous stores retailers,15253.0
2024-08-01,454.0,Nonstore retailers,122090.0
2024-08-01,4541.0,Electronic shopping and mail order houses,113589.0
2024-08-01,45431.0,Fuel dealers,3052.0
2024-08-01,722.0,Food services and drinking places,95503.0
2024-07-01,441.0,Motor vehicle and parts dealers,134367.0
2024-07-01,4413.0,"Automotive parts, acc., and tire stores",11568.0
2024-07-01,442.0,Furniture and home furnishings stores,11267.0
2024-07-01,443.0,Electronics and appliance stores,7831.0
2024-07-01,444.0,Building mat. and garden equip. and supplies dealers,41153.0
2024-07-01,4441.0,Building mat. and supplies dealers,35957.0
2024-07-01,445.0,Food and beverage stores,83658.0
2024-07-01,4451.0,Grocery stores,74892.0
2024-07-01,4453.0,"Beer, wine and liquor stores",6153.0
2024-07-01,446.0,Health and personal care stores,37605.0
2024-07-01,44611.0,Pharmacies and drug stores,31485.0
2024-07-01,447.0,Gasoline stations,52625.0
2024-07-01,448.0,Clothing and clothing access. stores,26299.0
2024-07-01,4481.0,Clothing stores,18649.0
2024-07-01,44812.0,Women's clothing stores,3038.0
2024-07-01,4482.0,Shoe stores,3310.0
2024-07-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8136.0
2024-07-01,452.0,General merchandise stores,75860.0
2024-07-01,4521.0,Department stores,10955.0
2024-07-01,4529.0,Other general merchandise stores,64905.0
2024-07-01,45291.0,Warehouse clubs and superstores,55823.0
2024-07-01,45299.0,All other gen. merchandise stores,9082.0
2024-07-01,453.0,Miscellaneous stores retailers,15107.0
2024-07-01,454.0,Nonstore retailers,122052.0
2024-07-01,4541.0,Electronic shopping and mail order houses,113135.0
2024-07-01,45431.0,Fuel dealers,3130.0
2024-07-01,722.0,Food services and drinking places,94891.0
2024-06-01,441.0,Motor vehicle and parts dealers,128751.0
2024-06-01,4413.0,"Automotive parts, acc., and tire stores",11627.0
2024-06-01,442.0,Furniture and home furnishings stores,11104.0
2024-06-01,443.0,Electronics and appliance stores,7821.0
2024-06-01,444.0,Building mat. and garden equip. and supplies dealers,40803.0
2024-06-01,4441.0,Building mat. and supplies dealers,35547.0
2024-06-01,445.0,Food and beverage stores,82893.0
2024-06-01,4451.0,Grocery stores,74138.0
2024-06-01,4453.0,"Beer, wine and liquor stores",6156.0
2024-06-01,446.0,Health and personal care stores,36911.0
2024-06-01,44611.0,Pharmacies and drug stores,30756.0
2024-06-01,447.0,Gasoline stations,52340.0
2024-06-01,448.0,Clothing and clothing access. stores,26248.0
2024-06-01,4481.0,Clothing stores,18698.0
2024-06-01,44812.0,Women's clothing stores,3040.0
2024-06-01,4482.0,Shoe stores,3182.0
2024-06-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8218.0
2024-06-01,452.0,General merchandise stores,75247.0
2024-06-01,4521.0,Department stores,10983.0
2024-06-01,4529.0,Other general merchandise stores,64264.0
2024-06-01,45291.0,Warehouse clubs and superstores,55196.0
2024-06-01,45299.0,All other gen. merchandise stores,9068.0
2024-06-01,453.0,Miscellaneous stores retailers,15226.0
2024-06-01,454.0,Nonstore retailers,122424.0
2024-06-01,4541.0,Electronic shopping and mail order houses,113874.0
2024-06-01,45431.0,Fuel dealers,2814.0
2024-06-01,722.0,Food services and drinking places,94364.0
2024-05-01,441.0,Motor vehicle and parts dealers,133545.0
2024-05-01,4413.0,"Automotive parts, acc., and tire stores",11506.0
2024-05-01,442.0,Furniture and home furnishings stores,11034.0
2024-05-01,443.0,Electronics and appliance stores,7938.0
2024-05-01,444.0,Building mat. and garden equip. and supplies dealers,40189.0
2024-05-01,4441.0,Building mat. and supplies dealers,35014.0
2024-05-01,445.0,Food and beverage stores,82758.0
2024-05-01,4451.0,Grocery stores,74024.0
2024-05-01,4453.0,"Beer, wine and liquor stores",6098.0
2024-05-01,446.0,Health and personal care stores,36669.0
2024-05-01,44611.0,Pharmacies and drug stores,30499.0
2024-05-01,447.0,Gasoline stations,53440.0
2024-05-01,448.0,Clothing and clothing access. stores,26227.0
2024-05-01,4481.0,Clothing stores,18751.0
2024-05-01,44812.0,Women's clothing stores,3075.0
2024-05-01,4482.0,Shoe stores,3179.0
2024-05-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8226.0
2024-05-01,452.0,General merchandise stores,75273.0
2024-05-01,4521.0,Department stores,10936.0
2024-05-01,4529.0,Other general merchandise stores,64337.0
2024-05-01,45291.0,Warehouse clubs and superstores,55272.0
2024-05-01,45299.0,All other gen. merchandise stores,9065.0
2024-05-01,453.0,Miscellaneous stores retailers,14982.0
2024-05-01,454.0,Nonstore retailers,119729.0
2024-05-01,4541.0,Electronic shopping and mail order houses,110859.0
2024-05-01,45431.0,Fuel dealers,2991.0
2024-05-01,722.0,Food services and drinking places,94299.0
2024-04-01,441.0,Motor vehicle and parts dealers,132104.0
2024-04-01,4413.0,"Automotive parts, acc., and tire stores",11457.0
2024-04-01,442.0,Furniture and home furnishings stores,10941.0
2024-04-01,443.0,Electronics and appliance stores,7810.0
2024-04-01,444.0,Building mat. and garden equip. and supplies dealers,40402.0
2024-04-01,4441.0,Building mat. and supplies dealers,35071.0
2024-04-01,445.0,Food and beverage stores,82825.0
2024-04-01,4451.0,Grocery stores,74099.0
2024-04-01,4453.0,"Beer, wine and liquor stores",6071.0
2024-04-01,446.0,Health and personal care stores,36117.0
2024-04-01,44611.0,Pharmacies and drug stores,30139.0
2024-04-01,447.0,Gasoline stations,54663.0
2024-04-01,448.0,Clothing and clothing access. stores,25893.0
2024-04-01,44812.0,Women's clothing stores,3089.0
2024-04-01,4482.0,Shoe stores,3175.0
2024-04-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8129.0
2024-04-01,452.0,General merchandise stores,75189.0
2024-04-01,4521.0,Department stores,10931.0
2024-04-01,4529.0,Other general merchandise stores,64258.0
2024-04-01,45291.0,Warehouse clubs and superstores,55133.0
2024-04-01,45299.0,All other gen. merchandise stores,9125.0
2024-04-01,453.0,Miscellaneous stores retailers,15201.0
2024-04-01,454.0,Nonstore retailers,119184.0
2024-04-01,4541.0,Electronic shopping and mail order houses,109865.0
2024-04-01,45431.0,Fuel dealers,3451.0
2024-04-01,722.0,Food services and drinking places,94223.0
2024-03-01,441.0,Motor vehicle and parts dealers,133485.0
2024-03-01,4413.0,"Automotive parts, acc., and tire stores",11418.0
2024-03-01,442.0,Furniture and home furnishings stores,10743.0
2024-03-01,443.0,Electronics and appliance stores,7611.0
2024-03-01,444.0,Building mat. and garden equip. and supplies dealers,40222.0
2024-03-01,4441.0,Building mat. and supplies dealers,34904.0
2024-03-01,445.0,Food and beverage stores,82265.0
2024-03-01,4451.0,Grocery stores,73617.0
2024-03-01,4453.0,"Beer, wine and liquor stores",6045.0
2024-03-01,446.0,Health and personal care stores,36202.0
2024-03-01,44611.0,Pharmacies and drug stores,30135.0
2024-03-01,447.0,Gasoline stations,53801.0
2024-03-01,448.0,Clothing and clothing access. stores,25321.0
2024-03-01,4481.0,Clothing stores,18013.0
2024-03-01,44812.0,Women's clothing stores,3066.0
2024-03-01,4482.0,Shoe stores,3048.0
2024-03-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8316.0
2024-03-01,452.0,General merchandise stores,75835.0
2024-03-01,4521.0,Department stores,10878.0
2024-03-01,4529.0,Other general merchandise stores,64957.0
2024-03-01,45291.0,Warehouse clubs and superstores,55850.0
2024-03-01,45299.0,All other gen. merchandise stores,9107.0
2024-03-01,453.0,Miscellaneous stores retailers,15478.0
2024-03-01,454.0,Nonstore retailers,120781.0
2024-03-01,4541.0,Electronic shopping and mail order houses,111624.0
2024-03-01,45431.0,Fuel dealers,3007.0
2024-03-01,722.0,Food services and drinking places,93678.0
2024-02-01,441.0,Motor vehicle and parts dealers,133673.0
2024-02-01,4413.0,"Automotive parts, acc., and tire stores",11240.0
2024-02-01,442.0,Furniture and home furnishings stores,10968.0
2024-02-01,443.0,Electronics and appliance stores,7814.0
2024-02-01,444.0,Building mat. and garden equip. and supplies dealers,40301.0
2024-02-01,4441.0,Building mat. and supplies dealers,35053.0
2024-02-01,445.0,Food and beverage stores,81992.0
2024-02-01,4451.0,Grocery stores,73341.0
2024-02-01,4453.0,"Beer, wine and liquor stores",6063.0
2024-02-01,446.0,Health and personal care stores,36142.0
2024-02-01,44611.0,Pharmacies and drug stores,30212.0
2024-02-01,447.0,Gasoline stations,53397.0
2024-02-01,448.0,Clothing and clothing access. stores,25949.0
2024-02-01,4481.0,Clothing stores,18320.0
2024-02-01,44812.0,Women's clothing stores,3132.0
2024-02-01,4482.0,Shoe stores,3267.0
2023-11-01,447.0,Gasoline stations,53518.0
2024-02-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8424.0
2024-02-01,452.0,General merchandise stores,75145.0
2024-02-01,4521.0,Department stores,11063.0
2024-02-01,4529.0,Other general merchandise stores,64082.0
2024-02-01,45291.0,Warehouse clubs and superstores,54877.0
2024-02-01,45299.0,All other gen. merchandise stores,9205.0
2024-02-01,453.0,Miscellaneous stores retailers,15109.0
2024-02-01,454.0,Nonstore retailers,117806.0
2024-02-01,4541.0,Electronic shopping and mail order houses,108416.0
2024-02-01,45431.0,Fuel dealers,3196.0
2024-02-01,722.0,Food services and drinking places,93799.0
2024-01-01,441.0,Motor vehicle and parts dealers,130914.0
2024-01-01,4413.0,"Automotive parts, acc., and tire stores",11353.0
2024-01-01,442.0,Furniture and home furnishings stores,11159.0
2024-01-01,443.0,Electronics and appliance stores,7637.0
2024-01-01,444.0,Building mat. and garden equip. and supplies dealers,39856.0
2024-01-01,4441.0,Building mat. and supplies dealers,34611.0
2024-01-01,4451.0,Grocery stores,73296.0
2024-01-01,4453.0,"Beer, wine and liquor stores",5947.0
2024-01-01,446.0,Health and personal care stores,36358.0
2024-01-01,44611.0,Pharmacies and drug stores,30388.0
2024-01-01,447.0,Gasoline stations,52140.0
2024-01-01,448.0,Clothing and clothing access. stores,25983.0
2024-01-01,4481.0,Clothing stores,18279.0
2024-01-01,44812.0,Women's clothing stores,3053.0
2024-01-01,4482.0,Shoe stores,3320.0
2024-01-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8387.0
2024-01-01,452.0,General merchandise stores,74156.0
2024-01-01,4521.0,Department stores,11064.0
2024-01-01,4529.0,Other general merchandise stores,63092.0
2024-01-01,45291.0,Warehouse clubs and superstores,53902.0
2024-01-01,45299.0,All other gen. merchandise stores,9190.0
2024-01-01,453.0,Miscellaneous stores retailers,14749.0
2024-01-01,454.0,Nonstore retailers,118073.0
2024-01-01,4541.0,Electronic shopping and mail order houses,108650.0
2024-01-01,45431.0,Fuel dealers,3226.0
2024-01-01,722.0,Food services and drinking places,93503.0
2023-12-01,441.0,Motor vehicle and parts dealers,133754.0
2023-12-01,4413.0,"Automotive parts, acc., and tire stores",11360.0
2023-12-01,442.0,Furniture and home furnishings stores,11198.0
2023-12-01,443.0,Electronics and appliance stores,7363.0
2023-12-01,444.0,Building mat. and garden equip. and supplies dealers,40963.0
2023-12-01,4441.0,Building mat. and supplies dealers,35508.0
2023-12-01,445.0,Food and beverage stores,82158.0
2023-12-01,4451.0,Grocery stores,73465.0
2023-12-01,4453.0,"Beer, wine and liquor stores",6148.0
2023-12-01,446.0,Health and personal care stores,36799.0
2023-12-01,44611.0,Pharmacies and drug stores,30732.0
2023-12-01,447.0,Gasoline stations,53099.0
2023-12-01,448.0,Clothing and clothing access. stores,26147.0
2023-12-01,4481.0,Clothing stores,18491.0
2023-12-01,44812.0,Women's clothing stores,3153.0
2023-12-01,4482.0,Shoe stores,3340.0
2023-12-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8364.0
2023-12-01,452.0,General merchandise stores,74767.0
2023-12-01,4521.0,Department stores,10989.0
2023-12-01,4529.0,Other general merchandise stores,63778.0
2023-12-01,45291.0,Warehouse clubs and superstores,54725.0
2023-12-01,45299.0,All other gen. merchandise stores,9053.0
2023-12-01,453.0,Miscellaneous stores retailers,14745.0
2023-12-01,454.0,Nonstore retailers,119373.0
2023-12-01,4541.0,Electronic shopping and mail order houses,110005.0
2023-12-01,45431.0,Fuel dealers,3135.0
2023-12-01,722.0,Food services and drinking places,94526.0
2023-11-01,441.0,Motor vehicle and parts dealers,133125.0
2023-11-01,4413.0,"Automotive parts, acc., and tire stores",11371.0
2023-11-01,442.0,Furniture and home furnishings stores,11319.0
2023-11-01,443.0,Electronics and appliance stores,7508.0
2023-11-01,444.0,Building mat. and garden equip. and supplies dealers,40841.0
2023-11-01,4441.0,Building mat. and supplies dealers,35254.0
2023-11-01,445.0,Food and beverage stores,82181.0
2023-11-01,4451.0,Grocery stores,73583.0
2023-11-01,4453.0,"Beer, wine and liquor stores",6040.0
2023-11-01,446.0,Health and personal care stores,37455.0
2023-11-01,44611.0,Pharmacies and drug stores,31447.0
2023-11-01,448.0,Clothing and clothing access. stores,25764.0
2023-11-01,4481.0,Clothing stores,18236.0
2023-11-01,44812.0,Women's clothing stores,3127.0
2023-11-01,4482.0,Shoe stores,3288.0
2023-11-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8501.0
2023-11-01,452.0,General merchandise stores,73841.0
2023-11-01,4521.0,Department stores,10671.0
2023-11-01,4529.0,Other general merchandise stores,63170.0
2023-11-01,45291.0,Warehouse clubs and superstores,54243.0
2023-11-01,45299.0,All other gen. merchandise stores,8927.0
2023-11-01,453.0,Miscellaneous stores retailers,14747.0
2023-11-01,454.0,Nonstore retailers,117235.0
2023-11-01,4541.0,Electronic shopping and mail order houses,107786.0
2023-11-01,45431.0,Fuel dealers,3312.0
2023-11-01,722.0,Food services and drinking places,94672.0
2023-10-01,441.0,Motor vehicle and parts dealers,132283.0
2023-10-01,4413.0,"Automotive parts, acc., and tire stores",11380.0
2023-10-01,442.0,Furniture and home furnishings stores,11049.0
2023-10-01,443.0,Electronics and appliance stores,7792.0
2023-10-01,444.0,Building mat. and garden equip. and supplies dealers,40940.0
2023-10-01,4441.0,Building mat. and supplies dealers,35307.0
2023-10-01,445.0,Food and beverage stores,82114.0
2023-10-01,4453.0,"Beer, wine and liquor stores",6034.0
2023-10-01,446.0,Health and personal care stores,37607.0
2023-10-01,44611.0,Pharmacies and drug stores,31707.0
2023-10-01,447.0,Gasoline stations,55546.0
2023-10-01,448.0,Clothing and clothing access. stores,25516.0
2023-10-01,4481.0,Clothing stores,18077.0
2023-10-01,44812.0,Women's clothing stores,3106.0
2023-10-01,4482.0,Shoe stores,3300.0
2023-10-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8439.0
2023-10-01,452.0,General merchandise stores,74007.0
2023-10-01,4521.0,Department stores,10880.0
2023-10-01,4529.0,Other general merchandise stores,63127.0
2023-10-01,45291.0,Warehouse clubs and superstores,54224.0
2023-10-01,45299.0,All other gen. merchandise stores,8903.0
2023-10-01,453.0,Miscellaneous stores retailers,14774.0
2023-10-01,454.0,Nonstore retailers,116529.0
2023-10-01,4541.0,Electronic shopping and mail order houses,106917.0
2023-10-01,45431.0,Fuel dealers,3388.0
2023-10-01,722.0,Food services and drinking places,93381.0
2023-09-01,441.0,Motor vehicle and parts dealers,133853.0
2023-09-01,4413.0,"Automotive parts, acc., and tire stores",11332.0
2023-09-01,442.0,Furniture and home furnishings stores,11326.0
2023-09-01,443.0,Electronics and appliance stores,7718.0
2023-09-01,444.0,Building mat. and garden equip. and supplies dealers,41045.0
2023-09-01,4441.0,Building mat. and supplies dealers,35384.0
2023-09-01,445.0,Food and beverage stores,82046.0
2023-09-01,4451.0,Grocery stores,73522.0
2023-09-01,4453.0,"Beer, wine and liquor stores",6008.0
2023-09-01,446.0,Health and personal care stores,36755.0
2023-09-01,44611.0,Pharmacies and drug stores,30715.0
2023-09-01,447.0,Gasoline stations,56439.0
2023-09-01,448.0,Clothing and clothing access. stores,25583.0
2023-09-01,4481.0,Clothing stores,18256.0
2023-09-01,44812.0,Women's clothing stores,3131.0
2023-09-01,4482.0,Shoe stores,3310.0
2023-09-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8480.0
2023-09-01,452.0,General merchandise stores,74074.0
2023-09-01,4521.0,Department stores,11010.0
2023-09-01,4529.0,Other general merchandise stores,63064.0
2023-09-01,45291.0,Warehouse clubs and superstores,54168.0
2023-09-01,45299.0,All other gen. merchandise stores,8896.0
2023-09-01,453.0,Miscellaneous stores retailers,14612.0
2023-09-01,454.0,Nonstore retailers,116376.0
2023-09-01,4541.0,Electronic shopping and mail order houses,106345.0
2023-09-01,45431.0,Fuel dealers,3510.0
2023-09-01,722.0,Food services and drinking places,92979.0
2023-08-01,441.0,Motor vehicle and parts dealers,132504.0
2023-08-01,4413.0,"Automotive parts, acc., and tire stores",11280.0
2023-08-01,442.0,Furniture and home furnishings stores,11372.0
2023-08-01,443.0,Electronics and appliance stores,7685.0
2023-08-01,444.0,Building mat. and garden equip. and supplies dealers,41208.0
2023-08-01,4441.0,Building mat. and supplies dealers,35699.0
2023-08-01,445.0,Food and beverage stores,81818.0
2023-08-01,4453.0,"Beer, wine and liquor stores",5935.0
2023-08-01,446.0,Health and personal care stores,36666.0
2023-08-01,44611.0,Pharmacies and drug stores,30635.0
2023-08-01,447.0,Gasoline stations,55612.0
2023-08-01,448.0,Clothing and clothing access. stores,25824.0
2023-08-01,4481.0,Clothing stores,18381.0
2023-08-01,44812.0,Women's clothing stores,3127.0
2023-08-01,4482.0,Shoe stores,3354.0
2023-08-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8458.0
2023-08-01,452.0,General merchandise stores,73933.0
2023-08-01,4521.0,Department stores,11033.0
2023-08-01,4529.0,Other general merchandise stores,62900.0
2023-08-01,45291.0,Warehouse clubs and superstores,54083.0
2023-08-01,45299.0,All other gen. merchandise stores,8817.0
2023-08-01,453.0,Miscellaneous stores retailers,13896.0
2023-08-01,454.0,Nonstore retailers,114808.0
2023-08-01,4541.0,Electronic shopping and mail order houses,104726.0
2023-08-01,45431.0,Fuel dealers,3437.0
2023-08-01,722.0,Food services and drinking places,91692.0
2023-07-01,441.0,Motor vehicle and parts dealers,132164.0
2023-07-01,4413.0,"Automotive parts, acc., and tire stores",11308.0
2023-07-01,442.0,Furniture and home furnishings stores,11467.0
2023-07-01,443.0,Electronics and appliance stores,7657.0
2023-07-01,444.0,Building mat. and garden equip. and supplies dealers,41051.0
2023-07-01,4441.0,Building mat. and supplies dealers,35478.0
2023-07-01,445.0,Food and beverage stores,81533.0
2023-07-01,4451.0,Grocery stores,73021.0
2023-07-01,4453.0,"Beer, wine and liquor stores",5997.0
2023-07-01,446.0,Health and personal care stores,35993.0
2023-07-01,44611.0,Pharmacies and drug stores,29942.0
2023-07-01,447.0,Gasoline stations,52074.0
2023-07-01,448.0,Clothing and clothing access. stores,25608.0
2023-07-01,4481.0,Clothing stores,18163.0
2023-07-01,44812.0,Women's clothing stores,3122.0
2023-07-01,4482.0,Shoe stores,3354.0
2023-07-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8616.0
2023-07-01,452.0,General merchandise stores,73788.0
2023-07-01,4521.0,Department stores,11001.0
2023-07-01,4529.0,Other general merchandise stores,62787.0
2023-07-01,45291.0,Warehouse clubs and superstores,53924.0
2023-07-01,45299.0,All other gen. merchandise stores,8863.0
2023-07-01,453.0,Miscellaneous stores retailers,14354.0
2023-07-01,454.0,Nonstore retailers,114732.0
2023-07-01,4541.0,Electronic shopping and mail order houses,105020.0
2023-07-01,45431.0,Fuel dealers,3232.0
2023-07-01,722.0,Food services and drinking places,91371.0
2023-06-01,441.0,Motor vehicle and parts dealers,132669.0
2023-06-01,4413.0,"Automotive parts, acc., and tire stores",11274.0
2023-06-01,442.0,Furniture and home furnishings stores,11631.0
