month,naics_code,kind_of_business,value
2020-08-01,no code,"Retail sales, total",482243
2020-08-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",375033
2020-08-01,no code,GAFO(1),105379
2020-08-01,441,Motor vehicle and parts dealers,107210
2020-08-01,"44,114,412",Automobile and other motor vehicle dealers,98517
2020-08-01,4413,"Automotive parts, acc., and tire stores",8693
2020-08-01,"442,443","Furniture, home furn, electronics, and appliance stores",17490
2020-08-01,442,Furniture and home furnishings stores,10736
2020-08-01,443,Electronics and appliance stores,6754
2020-08-01,444,Building mat. and garden equip. and supplies dealers,36389
2020-08-01,4441,Building mat. and supplies dealers,31811
2020-08-01,445,Food and beverage stores,70182
2020-08-01,4451,Grocery stores,62387
2020-08-01,4453,"Beer, wine and liquor stores",5754
2020-08-01,446,Health and personal care stores,30019
2020-08-01,44611,Pharmacies and drug stores,25216
2020-08-01,447,Gasoline stations,36328
2020-08-01,448,Clothing and clothing access. stores,18300
2020-08-01,4481,Clothing stores,12736
2020-08-01,44811,Men's clothing stores,467
2020-08-01,44812,Women's clothing stores,2694
2020-08-01,4482,Shoe stores,2285
2020-08-01,44831,Jewelry stores,3044
2020-08-01,451,"Sporting goods, hobby, musical instrument, and book stores",7319
2020-08-01,452,General merchandise stores,60132
2020-08-01,4521,Department stores,9379
2020-08-01,4529,Other general merchandise stores,50753
2020-08-01,45291,Warehouse clubs and superstores,43061
2020-08-01,45299,All other gen. merchandise stores,7692
2020-08-01,453,Miscellaneous stores retailers,11425
2020-08-01,454,Nonstore retailers,87449
2020-08-01,4541,Electronic shopping and mail order houses,79717
2020-08-01,45431,Fuel dealers,2438
2020-08-01,722,Food services and drinking places,58180
2020-07-01,no code,"Retail and food services sales, total",535644
2020-07-01,no code,Retail sales and food services excl motor vehicle and parts,429142
2020-07-01,no code,Retail sales and food services excl gasoline stations,500173
2020-07-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,393671
2020-07-01,no code,"Retail sales, total",480116
2020-07-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",373614
2020-07-01,no code,GAFO(1),106107
2020-07-01,441,Motor vehicle and parts dealers,106502
2020-07-01,"44,114,412",Automobile and other motor vehicle dealers,97797
2020-07-01,4413,"Automotive parts, acc., and tire stores",8705
2020-07-01,"442,443","Furniture, home furn, electronics, and appliance stores",16882
2020-07-01,442,Furniture and home furnishings stores,10230
2020-07-01,443,Electronics and appliance stores,6652
2020-07-01,444,Building mat. and garden equip. and supplies dealers,35941
2020-07-01,4441,Building mat. and supplies dealers,31307
2020-07-01,445,Food and beverage stores,71251
2020-07-01,4453,"Beer, wine and liquor stores",5669
2020-07-01,446,Health and personal care stores,30474
2020-07-01,44611,Pharmacies and drug stores,25692
2020-07-01,447,Gasoline stations,35471
2020-07-01,448,Clothing and clothing access. stores,17984
2020-07-01,4481,Clothing stores,12196
2020-07-01,44811,Men's clothing stores,503
2020-07-01,44812,Women's clothing stores,2610
2020-07-01,4482,Shoe stores,2702
2020-07-01,44831,Jewelry stores,2894
2020-07-01,451,"Sporting goods, hobby, musical instrument, and book stores",7851
2020-07-01,452,General merchandise stores,61365
2020-07-01,4521,Department stores,9524
2020-07-01,4529,Other general merchandise stores,51841
2020-07-01,45291,Warehouse clubs and superstores,44094
2020-07-01,45299,All other gen. merchandise stores,7747
2020-07-01,453,Miscellaneous stores retailers,11174
2020-07-01,454,Nonstore retailers,85221
2020-07-01,4541,Electronic shopping and mail order houses,77454
2020-07-01,45431,Fuel dealers,2408
2020-07-01,722,Food services and drinking places,55528
2020-06-01,no code,"Retail and food services sales, total",526970
2020-06-01,no code,Retail sales and food services excl motor vehicle and parts,420143
2020-06-01,no code,Retail sales and food services excl gasoline stations,493104
2020-06-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,386277
2020-06-01,no code,"Retail sales, total",473811
2020-06-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",366984
2020-06-01,no code,GAFO(1),104522
2020-06-01,441,Motor vehicle and parts dealers,106827
2020-06-01,"44,114,412",Automobile and other motor vehicle dealers,97914
2020-06-01,4413,"Automotive parts, acc., and tire stores",8913
2020-06-01,"442,443","Furniture, home furn, electronics, and appliance stores",15751
2020-06-01,442,Furniture and home furnishings stores,9917
2020-06-01,443,Electronics and appliance stores,5834
2020-06-01,444,Building mat. and garden equip. and supplies dealers,36468
2020-06-01,4441,Building mat. and supplies dealers,31668
2020-06-01,445,Food and beverage stores,70807
2020-06-01,4451,Grocery stores,63140
2020-06-01,4453,"Beer, wine and liquor stores",5627
2020-06-01,446,Health and personal care stores,28822
2020-06-01,44611,Pharmacies and drug stores,24963
2020-06-01,447,Gasoline stations,33866
2020-06-01,448,Clothing and clothing access. stores,17254
2020-06-01,4481,Clothing stores,11495
2020-06-01,44811,Men's clothing stores,351
2020-06-01,44812,Women's clothing stores,2201
2020-06-01,4482,Shoe stores,3046
2020-06-01,44831,Jewelry stores,2556
2020-06-01,451,"Sporting goods, hobby, musical instrument, and book stores",8113
2020-06-01,452,General merchandise stores,61590
2020-06-01,4521,Department stores,9514
2020-06-01,4529,Other general merchandise stores,52076
2020-06-01,45291,Warehouse clubs and superstores,44194
2020-06-01,45299,All other gen. merchandise stores,7882
2020-06-01,453,Miscellaneous stores retailers,10633
2020-06-01,454,Nonstore retailers,83680
2020-06-01,4541,Electronic shopping and mail order houses,76942
2020-06-01,45431,Fuel dealers,2278
2020-06-01,722,Food services and drinking places,53159
2020-05-01,no code,"Retail and food services sales, total",484978
2020-05-01,no code,Retail sales and food services excl motor vehicle and parts,386584
2020-05-01,no code,Retail sales and food services excl gasoline stations,454933
2020-05-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,356539
2020-05-01,no code,"Retail sales, total",443726
2020-05-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",345332
2020-05-01,no code,GAFO(1),88329
2020-05-01,441,Motor vehicle and parts dealers,98394
2020-05-01,"44,114,412",Automobile and other motor vehicle dealers,90080
2020-05-01,4413,"Automotive parts, acc., and tire stores",8314
2020-05-01,"442,443","Furniture, home furn, electronics, and appliance stores",11296
2020-05-01,442,Furniture and home furnishings stores,7159
2020-05-01,443,Electronics and appliance stores,4137
2020-05-01,444,Building mat. and garden equip. and supplies dealers,36132
2020-05-01,4441,Building mat. and supplies dealers,31416
2020-05-01,445,Food and beverage stores,72203
2020-05-01,4451,Grocery stores,64573
2020-05-01,4453,"Beer, wine and liquor stores",5628
2020-05-01,446,Health and personal care stores,26900
2020-05-01,44611,Pharmacies and drug stores,23998
2020-05-01,447,Gasoline stations,30045
2020-05-01,448,Clothing and clothing access. stores,8345
2020-05-01,4481,Clothing stores,5262
2020-05-01,44811,Men's clothing stores,156
2020-05-01,44812,Women's clothing stores,1020
2020-05-01,4482,Shoe stores,1650
2020-05-01,44831,Jewelry stores,1373
2020-05-01,451,"Sporting goods, hobby, musical instrument, and book stores",6432
2020-05-01,452,General merchandise stores,60914
2020-05-01,4521,Department stores,8700
2020-05-01,4529,Other general merchandise stores,52214
2020-05-01,45291,Warehouse clubs and superstores,44271
2020-05-01,45299,All other gen. merchandise stores,7943
2020-05-01,453,Miscellaneous stores retailers,8698
2020-05-01,454,Nonstore retailers,84367
2020-05-01,4541,Electronic shopping and mail order houses,78235
2020-05-01,45431,Fuel dealers,2350
2020-05-01,722,Food services and drinking places,41252
2020-04-01,no code,"Retail and food services sales, total",408312
2020-04-01,no code,Retail sales and food services excl motor vehicle and parts,342849
2020-04-01,no code,Retail sales and food services excl gasoline stations,381236
2020-04-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,315773
2020-04-01,no code,"Retail sales, total",376918
2020-04-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",311455
2020-04-01,no code,GAFO(1),70787
2020-04-01,441,Motor vehicle and parts dealers,65463
2020-04-01,"44,114,412",Automobile and other motor vehicle dealers,58737
2020-04-01,4413,"Automotive parts, acc., and tire stores",6726
2020-04-01,"442,443","Furniture, home furn, electronics, and appliance stores",7335
2020-04-01,442,Furniture and home furnishings stores,3971
2020-04-01,443,Electronics and appliance stores,3364
2020-04-01,444,Building mat. and garden equip. and supplies dealers,31734
2020-04-01,4441,Building mat. and supplies dealers,27545
2020-04-01,445,Food and beverage stores,70991
2020-04-01,4451,Grocery stores,64097
2020-04-01,4453,"Beer, wine and liquor stores",5154
2020-04-01,446,Health and personal care stores,26361
2020-04-01,44611,Pharmacies and drug stores,24185
2020-04-01,447,Gasoline stations,27076
2020-04-01,448,Clothing and clothing access. stores,2885
2020-04-01,4481,Clothing stores,1818
2020-04-01,44811,Men's clothing stores,86
2020-04-01,44812,Women's clothing stores,502
2020-04-01,4482,Shoe stores,486
2020-04-01,44831,Jewelry stores,558
2020-04-01,451,"Sporting goods, hobby, musical instrument, and book stores",3683
2020-04-01,452,General merchandise stores,55973
2020-04-01,4521,Department stores,6206
2020-04-01,4529,Other general merchandise stores,49767
2020-04-01,45291,Warehouse clubs and superstores,42366
2020-04-01,45299,All other gen. merchandise stores,7401
2020-04-01,453,Miscellaneous stores retailers,7037
2020-04-01,454,Nonstore retailers,78380
2020-04-01,4541,Electronic shopping and mail order houses,72479
2020-04-01,45431,Fuel dealers,2301
2020-04-01,722,Food services and drinking places,31394
2020-03-01,no code,"Retail and food services sales, total",477676
2020-03-01,no code,Retail sales and food services excl motor vehicle and parts,401728
2020-03-01,no code,Retail sales and food services excl gasoline stations,442652
2020-03-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,366704
2020-03-01,no code,"Retail sales, total",429196
2020-03-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",353248
2020-03-01,no code,GAFO(1),95314
2020-03-01,441,Motor vehicle and parts dealers,75948
2020-03-01,"44,114,412",Automobile and other motor vehicle dealers,68873
2020-03-01,4413,"Automotive parts, acc., and tire stores",7075
2020-03-01,"442,443","Furniture, home furn, electronics, and appliance stores",13982
2020-03-01,442,Furniture and home furnishings stores,7977
2020-03-01,443,Electronics and appliance stores,6005
2020-03-01,444,Building mat. and garden equip. and supplies dealers,31953
2020-03-01,4441,Building mat. and supplies dealers,28044
2020-03-01,445,Food and beverage stores,81748
2020-03-01,4451,Grocery stores,74168
2020-03-01,4453,"Beer, wine and liquor stores",5603
2020-03-01,446,Health and personal care stores,31032
2020-03-01,44611,Pharmacies and drug stores,27154
2020-03-01,447,Gasoline stations,35024
2020-03-01,448,Clothing and clothing access. stores,11435
2020-03-01,4481,Clothing stores,7882
2020-03-01,44811,Men's clothing stores,347
2020-03-01,44812,Women's clothing stores,1519
2020-03-01,4482,Shoe stores,1680
2020-03-01,44831,Jewelry stores,1717
2020-03-01,451,"Sporting goods, hobby, musical instrument, and book stores",5508
2020-03-01,452,General merchandise stores,62573
2020-03-01,4521,Department stores,8811
2020-03-01,4529,Other general merchandise stores,53762
2020-03-01,45291,Warehouse clubs and superstores,45739
2020-03-01,45299,All other gen. merchandise stores,8023
2020-03-01,453,Miscellaneous stores retailers,9686
2020-03-01,454,Nonstore retailers,70307
2020-03-01,4541,Electronic shopping and mail order houses,63159
2020-03-01,45431,Fuel dealers,2362
2020-03-01,722,Food services and drinking places,48480
2020-02-01,no code,"Retail and food services sales, total",525380
2020-02-01,no code,Retail sales and food services excl motor vehicle and parts,422416
2020-02-01,no code,Retail sales and food services excl gasoline stations,483899
2020-02-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,380935
2020-02-01,no code,"Retail sales, total",456401
2020-02-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",353437
2020-02-01,no code,GAFO(1),110211
2020-02-01,441,Motor vehicle and parts dealers,102964
2020-02-01,"44,114,412",Automobile and other motor vehicle dealers,95047
2020-02-01,4413,"Automotive parts, acc., and tire stores",7917
2020-02-01,"442,443","Furniture, home furn, electronics, and appliance stores",17566
2020-02-01,442,Furniture and home furnishings stores,10239
2020-02-01,443,Electronics and appliance stores,7327
2020-02-01,444,Building mat. and garden equip. and supplies dealers,32081
2020-02-01,4441,Building mat. and supplies dealers,28121
2020-02-01,445,Food and beverage stores,64741
2020-02-01,4451,Grocery stores,57922
2020-02-01,4453,"Beer, wine and liquor stores",4835
2020-02-01,446,Health and personal care stores,29680
2020-02-01,44611,Pharmacies and drug stores,24526
2020-02-01,447,Gasoline stations,41481
2020-02-01,448,Clothing and clothing access. stores,22679
2020-02-01,4481,Clothing stores,16529
2020-02-01,44811,Men's clothing stores,794
2020-02-01,44812,Women's clothing stores,3272
2020-02-01,4482,Shoe stores,3135
2020-02-01,44831,Jewelry stores,2741
2020-02-01,451,"Sporting goods, hobby, musical instrument, and book stores",6682
2020-02-01,452,General merchandise stores,60821
2020-02-01,4521,Department stores,10817
2020-02-01,4529,Other general merchandise stores,50004
2020-02-01,45291,Warehouse clubs and superstores,43074
2020-02-01,45299,All other gen. merchandise stores,6930
2020-02-01,453,Miscellaneous stores retailers,11483
2020-02-01,454,Nonstore retailers,66223
2020-02-01,4541,Electronic shopping and mail order houses,58485
2020-02-01,45431,Fuel dealers,2574
2010-06-01,4451,Grocery stores,42920
2020-02-01,722,Food services and drinking places,68979
2020-01-01,no code,"Retail and food services sales, total",525411
2020-01-01,no code,Retail sales and food services excl motor vehicle and parts,423094
2020-01-01,no code,Retail sales and food services excl gasoline stations,482009
2020-01-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,379692
2020-01-01,no code,"Retail sales, total",456420
2020-01-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",354103
2020-01-01,no code,GAFO(1),110418
2020-01-01,441,Motor vehicle and parts dealers,102317
2020-01-01,"44,114,412",Automobile and other motor vehicle dealers,94327
2020-01-01,4413,"Automotive parts, acc., and tire stores",7990
2020-01-01,"442,443","Furniture, home furn, electronics, and appliance stores",17834
2020-01-01,442,Furniture and home furnishings stores,10405
2020-01-01,443,Electronics and appliance stores,7429
2020-01-01,444,Building mat. and garden equip. and supplies dealers,32015
2020-01-01,4441,Building mat. and supplies dealers,28011
2020-01-01,445,Food and beverage stores,64626
2020-01-01,4451,Grocery stores,57885
2020-01-01,4453,"Beer, wine and liquor stores",4848
2020-01-01,446,Health and personal care stores,29318
2020-01-01,44611,Pharmacies and drug stores,24154
2020-01-01,447,Gasoline stations,43402
2020-01-01,448,Clothing and clothing access. stores,22854
2020-01-01,4481,Clothing stores,16578
2020-01-01,44811,Men's clothing stores,799
2020-01-01,44812,Women's clothing stores,3313
2020-01-01,4482,Shoe stores,3128
2020-01-01,44831,Jewelry stores,2882
2020-01-01,451,"Sporting goods, hobby, musical instrument, and book stores",6705
2020-01-01,452,General merchandise stores,60539
2020-01-01,4521,Department stores,10844
2020-01-01,4529,Other general merchandise stores,49695
2020-01-01,45291,Warehouse clubs and superstores,42829
2020-01-01,45299,All other gen. merchandise stores,6866
2020-01-01,453,Miscellaneous stores retailers,11531
2020-01-01,454,Nonstore retailers,65279
2020-01-01,4541,Electronic shopping and mail order houses,57781
2020-01-01,45431,Fuel dealers,2609
2020-01-01,722,Food services and drinking places,68991
2019-12-01,no code,"Retail and food services sales, total",524954
2019-12-01,no code,Retail sales and food services excl motor vehicle and parts,421008
2019-12-01,no code,Retail sales and food services excl gasoline stations,480804
2019-12-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,376858
2019-12-01,no code,"Retail sales, total",457253
2019-12-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",353307
2019-12-01,no code,GAFO(1),110332
2019-12-01,441,Motor vehicle and parts dealers,103946
2019-12-01,"44,114,412",Automobile and other motor vehicle dealers,95904
2019-12-01,4413,"Automotive parts, acc., and tire stores",8042
2019-12-01,"442,443","Furniture, home furn, electronics, and appliance stores",17823
2019-12-01,442,Furniture and home furnishings stores,10239
2019-12-01,443,Electronics and appliance stores,7584
2019-12-01,444,Building mat. and garden equip. and supplies dealers,31527
2019-12-01,4441,Building mat. and supplies dealers,27530
2019-12-01,445,Food and beverage stores,65335
2019-12-01,4451,Grocery stores,58537
2019-12-01,4453,"Beer, wine and liquor stores",4855
2019-12-01,446,Health and personal care stores,28517
2019-12-01,44611,Pharmacies and drug stores,23539
2019-12-01,447,Gasoline stations,44150
2019-12-01,448,Clothing and clothing access. stores,23116
2019-12-01,4481,Clothing stores,16974
2019-12-01,44811,Men's clothing stores,802
2019-12-01,44812,Women's clothing stores,3239
2019-12-01,4482,Shoe stores,3071
2019-12-01,44831,Jewelry stores,2803
2019-12-01,451,"Sporting goods, hobby, musical instrument, and book stores",6684
2019-12-01,452,General merchandise stores,60287
2019-12-01,4521,Department stores,10952
2019-12-01,4529,Other general merchandise stores,49335
2019-12-01,45291,Warehouse clubs and superstores,42538
2019-12-01,45299,All other gen. merchandise stores,6797
2019-12-01,453,Miscellaneous stores retailers,11242
2019-12-01,454,Nonstore retailers,64626
2019-12-01,4541,Electronic shopping and mail order houses,56622
2019-12-01,45431,Fuel dealers,2845
2019-12-01,722,Food services and drinking places,67701
2019-11-01,no code,"Retail and food services sales, total",523120
2019-11-01,no code,Retail sales and food services excl motor vehicle and parts,417162
2019-11-01,no code,Retail sales and food services excl gasoline stations,480236
2019-11-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,374278
2019-11-01,no code,"Retail sales, total",456587
2019-11-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",350629
2019-11-01,no code,GAFO(1),109246
2019-11-01,441,Motor vehicle and parts dealers,105958
2019-11-01,"44,114,412",Automobile and other motor vehicle dealers,97828
2019-11-01,4413,"Automotive parts, acc., and tire stores",8130
2016-02-01,44812,Women's clothing stores,3449
2019-11-01,"442,443","Furniture, home furn, electronics, and appliance stores",17719
2019-11-01,442,Furniture and home furnishings stores,10185
2019-11-01,443,Electronics and appliance stores,7534
2019-11-01,444,Building mat. and garden equip. and supplies dealers,31164
2019-11-01,4441,Building mat. and supplies dealers,27039
2019-11-01,445,Food and beverage stores,64816
2019-11-01,4451,Grocery stores,58049
2019-11-01,4453,"Beer, wine and liquor stores",4801
2019-11-01,446,Health and personal care stores,28827
2019-11-01,44611,Pharmacies and drug stores,23758
2019-11-01,447,Gasoline stations,42884
2019-11-01,448,Clothing and clothing access. stores,22247
2019-11-01,4481,Clothing stores,16259
2019-11-01,44811,Men's clothing stores,805
2019-11-01,44812,Women's clothing stores,3181
2019-11-01,451,"Sporting goods, hobby, musical instrument, and book stores",6473
2019-11-01,452,General merchandise stores,60360
2019-11-01,4521,Department stores,11139
2019-11-01,4529,Other general merchandise stores,49221
2019-11-01,45291,Warehouse clubs and superstores,42447
2019-11-01,45299,All other gen. merchandise stores,6774
2019-11-01,453,Miscellaneous stores retailers,11416
2019-11-01,454,Nonstore retailers,64723
2019-11-01,4541,Electronic shopping and mail order houses,56850
2019-11-01,45431,Fuel dealers,3027
2019-11-01,722,Food services and drinking places,66533
2019-10-01,no code,"Retail and food services sales, total",519795
2019-10-01,no code,Retail sales and food services excl motor vehicle and parts,416565
2019-10-01,no code,Retail sales and food services excl gasoline stations,476834
2019-10-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,373604
2019-10-01,no code,"Retail sales, total",453365
2019-10-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",350135
2019-10-01,no code,GAFO(1),108746
2019-10-01,441,Motor vehicle and parts dealers,103230
2019-10-01,"44,114,412",Automobile and other motor vehicle dealers,95131
2019-10-01,4413,"Automotive parts, acc., and tire stores",8099
2019-10-01,"442,443","Furniture, home furn, electronics, and appliance stores",17632
2019-10-01,442,Furniture and home furnishings stores,10132
2019-10-01,443,Electronics and appliance stores,7500
2019-10-01,444,Building mat. and garden equip. and supplies dealers,31076
2019-10-01,4441,Building mat. and supplies dealers,27053
2019-10-01,445,Food and beverage stores,64643
2019-10-01,4451,Grocery stores,57880
2019-10-01,4453,"Beer, wine and liquor stores",4780
2019-10-01,446,Health and personal care stores,29107
2019-10-01,44611,Pharmacies and drug stores,24111
2019-10-01,447,Gasoline stations,42961
2019-10-01,448,Clothing and clothing access. stores,22283
2019-10-01,4481,Clothing stores,16295
2019-10-01,44811,Men's clothing stores,789
2019-10-01,44812,Women's clothing stores,3235
2019-10-01,4482,Shoe stores,3047
2019-10-01,44831,Jewelry stores,2723
2019-10-01,451,"Sporting goods, hobby, musical instrument, and book stores",6713
2019-10-01,452,General merchandise stores,59726
2019-10-01,4521,Department stores,10947
2019-10-01,4529,Other general merchandise stores,48779
2019-10-01,45291,Warehouse clubs and superstores,42049
2019-10-01,45299,All other gen. merchandise stores,6730
2019-10-01,453,Miscellaneous stores retailers,11232
2019-10-01,454,Nonstore retailers,64762
2019-10-01,4541,Electronic shopping and mail order houses,57039
2019-10-01,45431,Fuel dealers,2799
2019-10-01,722,Food services and drinking places,66430
2019-09-01,no code,"Retail and food services sales, total",518188
2019-09-01,no code,Retail sales and food services excl motor vehicle and parts,414939
2019-09-01,no code,Retail sales and food services excl gasoline stations,475744
2019-09-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,372495
2019-09-01,no code,"Retail sales, total",452230
2019-09-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",348981
2019-09-01,no code,GAFO(1),108403
2019-09-01,441,Motor vehicle and parts dealers,103249
2019-09-01,"44,114,412",Automobile and other motor vehicle dealers,95207
2019-09-01,4413,"Automotive parts, acc., and tire stores",8042
2019-09-01,"442,443","Furniture, home furn, electronics, and appliance stores",17812
2019-09-01,442,Furniture and home furnishings stores,10252
2019-09-01,443,Electronics and appliance stores,7560
2019-09-01,444,Building mat. and garden equip. and supplies dealers,31151
2019-09-01,4441,Building mat. and supplies dealers,27206
2019-09-01,445,Food and beverage stores,64867
2019-09-01,4451,Grocery stores,58124
2019-09-01,4453,"Beer, wine and liquor stores",4767
2019-09-01,446,Health and personal care stores,28825
2019-09-01,44611,Pharmacies and drug stores,23772
2019-09-01,447,Gasoline stations,42444
2019-09-01,448,Clothing and clothing access. stores,22216
2019-09-01,4481,Clothing stores,16094
2019-09-01,44811,Men's clothing stores,782
2019-09-01,44812,Women's clothing stores,3188
2019-09-01,4482,Shoe stores,3042
2019-09-01,44831,Jewelry stores,2840
2019-09-01,451,"Sporting goods, hobby, musical instrument, and book stores",6661
2019-09-01,452,General merchandise stores,59355
2019-09-01,4521,Department stores,10949
2019-09-01,4529,Other general merchandise stores,48406
2019-09-01,45291,Warehouse clubs and superstores,41705
2019-09-01,45299,All other gen. merchandise stores,6701
2019-09-01,453,Miscellaneous stores retailers,11065
2019-09-01,454,Nonstore retailers,64585
2019-09-01,4541,Electronic shopping and mail order houses,56742
2019-09-01,45431,Fuel dealers,2833
2019-09-01,722,Food services and drinking places,65958
2019-08-01,no code,"Retail and food services sales, total",521348
2019-08-01,no code,Retail sales and food services excl motor vehicle and parts,415683
2019-08-01,no code,Retail sales and food services excl gasoline stations,478545
2019-08-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,372880
2019-08-01,no code,"Retail sales, total",456082
2019-08-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",350417
2019-08-01,no code,GAFO(1),109083
2019-08-01,441,Motor vehicle and parts dealers,105665
2019-08-01,"44,114,412",Automobile and other motor vehicle dealers,97492
2019-08-01,4413,"Automotive parts, acc., and tire stores",8173
2019-08-01,"442,443","Furniture, home furn, electronics, and appliance stores",17653
2019-08-01,442,Furniture and home furnishings stores,10093
2019-08-01,443,Electronics and appliance stores,7560
2019-08-01,444,Building mat. and garden equip. and supplies dealers,31469
2019-08-01,4441,Building mat. and supplies dealers,27565
2019-08-01,445,Food and beverage stores,65444
2019-08-01,4453,"Beer, wine and liquor stores",4790
2019-08-01,446,Health and personal care stores,28902
2019-08-01,44611,Pharmacies and drug stores,24047
2019-08-01,447,Gasoline stations,42803
2019-08-01,448,Clothing and clothing access. stores,22412
2019-08-01,4481,Clothing stores,16274
2019-08-01,44811,Men's clothing stores,780
2019-08-01,44812,Women's clothing stores,3157
2019-08-01,4482,Shoe stores,3106
2019-08-01,44831,Jewelry stores,2796
2019-08-01,451,"Sporting goods, hobby, musical instrument, and book stores",6684
2019-08-01,452,General merchandise stores,59883
2019-08-01,4521,Department stores,11319
2019-08-01,4529,Other general merchandise stores,48564
2019-08-01,45291,Warehouse clubs and superstores,41784
2019-08-01,45299,All other gen. merchandise stores,6780
2019-08-01,453,Miscellaneous stores retailers,11150
2019-08-01,454,Nonstore retailers,64017
2019-08-01,4541,Electronic shopping and mail order houses,56111
2019-08-01,45431,Fuel dealers,2925
2019-08-01,722,Food services and drinking places,65266
2019-07-01,no code,"Retail and food services sales, total",518274
2019-07-01,no code,Retail sales and food services excl motor vehicle and parts,414802
2019-07-01,no code,Retail sales and food services excl gasoline stations,475443
2019-07-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,371971
2019-07-01,no code,"Retail sales, total",453221
2019-07-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",349749
2019-07-01,no code,GAFO(1),109508
2019-07-01,441,Motor vehicle and parts dealers,103472
2019-07-01,"44,114,412",Automobile and other motor vehicle dealers,95380
2019-07-01,4413,"Automotive parts, acc., and tire stores",8092
2019-07-01,"442,443","Furniture, home furn, electronics, and appliance stores",17732
2019-07-01,442,Furniture and home furnishings stores,10125
2019-07-01,443,Electronics and appliance stores,7607
2019-07-01,444,Building mat. and garden equip. and supplies dealers,31137
2019-07-01,4441,Building mat. and supplies dealers,27215
2019-07-01,445,Food and beverage stores,65380
2019-07-01,4451,Grocery stores,58604
2019-07-01,4453,"Beer, wine and liquor stores",4786
2019-07-01,446,Health and personal care stores,28895
2019-07-01,44611,Pharmacies and drug stores,24004
2019-07-01,447,Gasoline stations,42831
2019-07-01,448,Clothing and clothing access. stores,22450
2019-07-01,4481,Clothing stores,16313
2019-07-01,44811,Men's clothing stores,772
2019-07-01,44812,Women's clothing stores,3186
2019-07-01,4482,Shoe stores,3126
2019-07-01,44831,Jewelry stores,2787
2019-07-01,451,"Sporting goods, hobby, musical instrument, and book stores",6617
2019-07-01,452,General merchandise stores,60189
2019-07-01,4521,Department stores,11479
2019-07-01,4529,Other general merchandise stores,48710
2019-07-01,45291,Warehouse clubs and superstores,41925
2019-07-01,45299,All other gen. merchandise stores,6785
2019-07-01,453,Miscellaneous stores retailers,10939
2019-07-01,454,Nonstore retailers,63579
2019-07-01,4541,Electronic shopping and mail order houses,55764
2019-07-01,45431,Fuel dealers,2924
2019-07-01,722,Food services and drinking places,65053
2019-06-01,no code,"Retail and food services sales, total",513716
2019-06-01,no code,Retail sales and food services excl motor vehicle and parts,411009
2019-06-01,no code,Retail sales and food services excl gasoline stations,471548
2019-06-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,368841
2019-06-01,no code,"Retail sales, total",449409
2019-06-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",346702
2019-06-01,no code,GAFO(1),108545
2019-06-01,441,Motor vehicle and parts dealers,102707
2019-06-01,"44,114,412",Automobile and other motor vehicle dealers,94602
2019-06-01,4413,"Automotive parts, acc., and tire stores",8105
2019-06-01,"442,443","Furniture, home furn, electronics, and appliance stores",17668
2019-06-01,442,Furniture and home furnishings stores,10098
2019-06-01,443,Electronics and appliance stores,7570
2019-06-01,444,Building mat. and garden equip. and supplies dealers,30622
2019-06-01,4441,Building mat. and supplies dealers,26925
2019-06-01,445,Food and beverage stores,64586
2019-06-01,4451,Grocery stores,57913
2019-06-01,4453,"Beer, wine and liquor stores",4716
2019-06-01,446,Health and personal care stores,29029
2019-06-01,44611,Pharmacies and drug stores,24164
2019-06-01,447,Gasoline stations,42168
2019-06-01,448,Clothing and clothing access. stores,22119
2019-06-01,4481,Clothing stores,16171
2019-06-01,44811,Men's clothing stores,763
2019-06-01,44812,Women's clothing stores,3161
