month,naics_code,kind_of_business,value
2024-10-01,"44,114,412",Automobile and other motor vehicle dealers,126269
2024-10-01,4413,"Automotive parts, acc., and tire stores",11387
2024-10-01,"442,443","Furniture, home furn, electronics, and appliance stores",19092
2024-10-01,442,Furniture and home furnishings stores,11446
2024-10-01,443,Electronics and appliance stores,7646
2024-10-01,444,Building mat. and garden equip. and supplies dealers,41622
2024-10-01,4441,Building mat. and supplies dealers,36360
2024-10-01,445,Food and beverage stores,84228
2024-10-01,4451,Grocery stores,75403
2024-10-01,4453,"Beer, wine and liquor stores",6191
2024-10-01,446,Health and personal care stores,38057
2024-10-01,44611,Pharmacies and drug stores,31980
2024-10-01,447,Gasoline stations,51506
2024-10-01,448,Clothing and clothing access. stores,26544
2024-10-01,4481,Clothing stores,18733
2024-10-01,44812,Women's clothing stores,3024
2024-10-01,4482,Shoe stores,3093
2024-10-01,451,"Sporting goods, hobby, musical instrument, and book stores",8238
2024-10-01,452,General merchandise stores,76244
2024-10-01,4521,Department stores,10845
2024-10-01,4529,Other general merchandise stores,65399
2024-10-01,45291,Warehouse clubs and superstores,56171
2024-10-01,45299,All other gen. merchandise stores,9228
2024-10-01,453,Miscellaneous stores retailers,15431
2024-10-01,454,Nonstore retailers,124651
2024-10-01,4541,Electronic shopping and mail order houses,115702
2024-10-01,45431,Fuel dealers,3158
2024-10-01,722,Food services and drinking places,97124
2024-09-01,no code,"Retail and food services sales, total",716388
2024-09-01,no code,Retail sales and food services excl motor vehicle and parts,581688
2024-09-01,no code,Retail sales and food services excl gasoline stations,664976
2024-09-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,530276
2024-09-01,no code,"Retail sales, total",620104
2024-09-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",485404
2024-09-01,no code,GAFO(1),131966
2024-09-01,441,Motor vehicle and parts dealers,134700
2024-09-01,"44,114,412",Automobile and other motor vehicle dealers,123177
2024-09-01,4413,"Automotive parts, acc., and tire stores",11523
2024-09-01,"442,443","Furniture, home furn, electronics, and appliance stores",18797
2024-09-01,442,Furniture and home furnishings stores,11376
2024-09-01,443,Electronics and appliance stores,7421
2024-09-01,444,Building mat. and garden equip. and supplies dealers,41744
2024-09-01,4441,Building mat. and supplies dealers,36486
2024-09-01,445,Food and beverage stores,83962
2024-09-01,4451,Grocery stores,75140
2024-09-01,4453,"Beer, wine and liquor stores",6182
2024-09-01,446,Health and personal care stores,38541
2024-09-01,44611,Pharmacies and drug stores,32451
2024-09-01,447,Gasoline stations,51412
2024-09-01,448,Clothing and clothing access. stores,26264
2024-09-01,4481,Clothing stores,18552
2024-09-01,44812,Women's clothing stores,2946
2024-09-01,4482,Shoe stores,3077
2024-09-01,451,"Sporting goods, hobby, musical instrument, and book stores",8274
2024-09-01,452,General merchandise stores,76190
2024-09-01,4521,Department stores,10887
2024-09-01,4529,Other general merchandise stores,65303
2024-09-01,45291,Warehouse clubs and superstores,56079
2024-09-01,45299,All other gen. merchandise stores,9224
2024-09-01,453,Miscellaneous stores retailers,15582
2024-09-01,454,Nonstore retailers,124638
2024-09-01,4541,Electronic shopping and mail order houses,115935
2024-09-01,45431,Fuel dealers,2944
2024-09-01,722,Food services and drinking places,96284
2024-08-01,no code,"Retail and food services sales, total",710038
2024-08-01,no code,Retail sales and food services excl motor vehicle and parts,576099
2024-08-01,no code,Retail sales and food services excl gasoline stations,657874
2024-08-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,523935
2024-08-01,no code,"Retail sales, total",614535
2024-08-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",480596
2024-08-01,no code,GAFO(1),131292
2024-08-01,441,Motor vehicle and parts dealers,133939
2024-08-01,"44,114,412",Automobile and other motor vehicle dealers,122394
2024-08-01,4413,"Automotive parts, acc., and tire stores",11545
2024-08-01,"442,443","Furniture, home furn, electronics, and appliance stores",18894
2024-08-01,442,Furniture and home furnishings stores,11254
2024-08-01,443,Electronics and appliance stores,7640
2024-08-01,444,Building mat. and garden equip. and supplies dealers,41274
2024-08-01,4441,Building mat. and supplies dealers,36114
2024-08-01,445,Food and beverage stores,83305
2024-08-01,4451,Grocery stores,74559
2024-08-01,4453,"Beer, wine and liquor stores",6122
2024-08-01,446,Health and personal care stores,37742
2024-08-01,44611,Pharmacies and drug stores,31739
2024-08-01,447,Gasoline stations,52164
2024-08-01,448,Clothing and clothing access. stores,26053
2024-08-01,4481,Clothing stores,18547
2024-08-01,44812,Women's clothing stores,3042
2024-08-01,4482,Shoe stores,3131
2024-08-01,451,"Sporting goods, hobby, musical instrument, and book stores",8159
2024-08-01,452,General merchandise stores,75662
2024-08-01,4521,Department stores,10839
2024-08-01,4529,Other general merchandise stores,64823
2024-08-01,45291,Warehouse clubs and superstores,55624
2024-08-01,45299,All other gen. merchandise stores,9199
2024-08-01,453,Miscellaneous stores retailers,15253
2024-08-01,454,Nonstore retailers,122090
2024-08-01,4541,Electronic shopping and mail order houses,113589
2024-08-01,45431,Fuel dealers,3052
2024-08-01,722,Food services and drinking places,95503
2024-07-01,no code,"Retail and food services sales, total",710851
2024-07-01,no code,Retail sales and food services excl motor vehicle and parts,576484
2024-07-01,no code,Retail sales and food services excl gasoline stations,658226
2024-07-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,523859
2024-07-01,no code,"Retail sales, total",615960
2024-07-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",481593
2024-07-01,no code,GAFO(1),131839
2024-07-01,441,Motor vehicle and parts dealers,134367
2024-07-01,"44,114,412",Automobile and other motor vehicle dealers,122799
2024-07-01,4413,"Automotive parts, acc., and tire stores",11568
2024-07-01,"442,443","Furniture, home furn, electronics, and appliance stores",19098
2024-07-01,442,Furniture and home furnishings stores,11267
2024-07-01,443,Electronics and appliance stores,7831
2024-07-01,444,Building mat. and garden equip. and supplies dealers,41153
2024-07-01,4441,Building mat. and supplies dealers,35957
2024-07-01,445,Food and beverage stores,83658
2024-07-01,4451,Grocery stores,74892
2024-07-01,4453,"Beer, wine and liquor stores",6153
2024-07-01,446,Health and personal care stores,37605
2024-07-01,44611,Pharmacies and drug stores,31485
2024-07-01,447,Gasoline stations,52625
2024-07-01,448,Clothing and clothing access. stores,26299
2024-07-01,4481,Clothing stores,18649
2024-07-01,44812,Women's clothing stores,3038
2024-07-01,4482,Shoe stores,3310
2024-07-01,451,"Sporting goods, hobby, musical instrument, and book stores",8136
2024-07-01,452,General merchandise stores,75860
2024-07-01,4521,Department stores,10955
2024-07-01,4529,Other general merchandise stores,64905
2024-07-01,45291,Warehouse clubs and superstores,55823
2024-07-01,45299,All other gen. merchandise stores,9082
2024-07-01,453,Miscellaneous stores retailers,15107
2024-07-01,454,Nonstore retailers,122052
2024-07-01,4541,Electronic shopping and mail order houses,113135
2024-07-01,45431,Fuel dealers,3130
2024-07-01,722,Food services and drinking places,94891
2024-06-01,no code,"Retail and food services sales, total",702350
2024-06-01,no code,Retail sales and food services excl motor vehicle and parts,573599
2024-06-01,no code,Retail sales and food services excl gasoline stations,650010
2024-06-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,521259
2024-06-01,no code,"Retail sales, total",607986
2024-06-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",479235
2024-06-01,no code,GAFO(1),131225
2024-06-01,441,Motor vehicle and parts dealers,128751
2024-06-01,"44,114,412",Automobile and other motor vehicle dealers,117124
2024-06-01,4413,"Automotive parts, acc., and tire stores",11627
2024-06-01,"442,443","Furniture, home furn, electronics, and appliance stores",18925
2024-06-01,442,Furniture and home furnishings stores,11104
2024-06-01,443,Electronics and appliance stores,7821
2024-06-01,444,Building mat. and garden equip. and supplies dealers,40803
2024-06-01,4441,Building mat. and supplies dealers,35547
2024-06-01,445,Food and beverage stores,82893
2024-06-01,4451,Grocery stores,74138
2024-06-01,4453,"Beer, wine and liquor stores",6156
2024-06-01,446,Health and personal care stores,36911
2024-06-01,44611,Pharmacies and drug stores,30756
2024-06-01,447,Gasoline stations,52340
2024-06-01,448,Clothing and clothing access. stores,26248
2024-06-01,4481,Clothing stores,18698
2024-06-01,44812,Women's clothing stores,3040
2024-06-01,4482,Shoe stores,3182
2024-06-01,451,"Sporting goods, hobby, musical instrument, and book stores",8218
2024-06-01,452,General merchandise stores,75247
2024-06-01,4521,Department stores,10983
2024-06-01,4529,Other general merchandise stores,64264
2024-06-01,45291,Warehouse clubs and superstores,55196
2024-06-01,45299,All other gen. merchandise stores,9068
2024-06-01,453,Miscellaneous stores retailers,15226
2024-06-01,454,Nonstore retailers,122424
2024-06-01,4541,Electronic shopping and mail order houses,113874
2024-06-01,45431,Fuel dealers,2814
2024-06-01,722,Food services and drinking places,94364
2024-05-01,no code,"Retail and food services sales, total",704309
2024-05-01,no code,Retail sales and food services excl motor vehicle and parts,570764
2024-05-01,no code,Retail sales and food services excl gasoline stations,650869
2024-05-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,517324
2024-05-01,no code,"Retail sales, total",610010
2024-05-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",476465
2024-05-01,no code,GAFO(1),131135
2024-05-01,441,Motor vehicle and parts dealers,133545
2024-05-01,"44,114,412",Automobile and other motor vehicle dealers,122039
2024-05-01,4413,"Automotive parts, acc., and tire stores",11506
2024-05-01,"442,443","Furniture, home furn, electronics, and appliance stores",18972
2024-05-01,442,Furniture and home furnishings stores,11034
2024-05-01,443,Electronics and appliance stores,7938
2024-05-01,444,Building mat. and garden equip. and supplies dealers,40189
2024-05-01,4441,Building mat. and supplies dealers,35014
2024-05-01,445,Food and beverage stores,82758
2024-05-01,4451,Grocery stores,74024
2024-05-01,4453,"Beer, wine and liquor stores",6098
2024-05-01,446,Health and personal care stores,36669
2024-05-01,44611,Pharmacies and drug stores,30499
2024-05-01,447,Gasoline stations,53440
2024-05-01,448,Clothing and clothing access. stores,26227
2024-05-01,4481,Clothing stores,18751
2024-05-01,44812,Women's clothing stores,3075
2024-05-01,4482,Shoe stores,3179
2024-05-01,451,"Sporting goods, hobby, musical instrument, and book stores",8226
2024-05-01,452,General merchandise stores,75273
2024-05-01,4521,Department stores,10936
2024-05-01,4529,Other general merchandise stores,64337
2024-05-01,45291,Warehouse clubs and superstores,55272
2024-05-01,45299,All other gen. merchandise stores,9065
2024-05-01,453,Miscellaneous stores retailers,14982
2024-05-01,454,Nonstore retailers,119729
2024-05-01,4541,Electronic shopping and mail order houses,110859
2024-05-01,45431,Fuel dealers,2991
2024-05-01,722,Food services and drinking places,94299
2024-04-01,no code,"Retail and food services sales, total",702681
2024-04-01,no code,Retail sales and food services excl motor vehicle and parts,570577
2024-04-01,no code,Retail sales and food services excl gasoline stations,648018
2024-04-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,515914
2024-04-01,no code,"Retail sales, total",608458
2024-04-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",476354
2024-04-01,no code,GAFO(1),130367
2024-04-01,441,Motor vehicle and parts dealers,132104
2024-04-01,"44,114,412",Automobile and other motor vehicle dealers,120647
2024-04-01,4413,"Automotive parts, acc., and tire stores",11457
2024-04-01,"442,443","Furniture, home furn, electronics, and appliance stores",18751
2024-04-01,442,Furniture and home furnishings stores,10941
2024-04-01,443,Electronics and appliance stores,7810
2024-04-01,444,Building mat. and garden equip. and supplies dealers,40402
2024-04-01,4441,Building mat. and supplies dealers,35071
2024-04-01,445,Food and beverage stores,82825
2024-04-01,4451,Grocery stores,74099
2024-04-01,4453,"Beer, wine and liquor stores",6071
2024-04-01,446,Health and personal care stores,36117
2024-04-01,44611,Pharmacies and drug stores,30139
2024-04-01,447,Gasoline stations,54663
2024-04-01,448,Clothing and clothing access. stores,25893
2024-04-01,44812,Women's clothing stores,3089
2024-04-01,4482,Shoe stores,3175
2024-04-01,451,"Sporting goods, hobby, musical instrument, and book stores",8129
2024-04-01,452,General merchandise stores,75189
2024-04-01,4521,Department stores,10931
2024-04-01,4529,Other general merchandise stores,64258
2024-04-01,45291,Warehouse clubs and superstores,55133
2024-04-01,45299,All other gen. merchandise stores,9125
2024-04-01,453,Miscellaneous stores retailers,15201
2024-04-01,454,Nonstore retailers,119184
2024-04-01,4541,Electronic shopping and mail order houses,109865
2024-04-01,45431,Fuel dealers,3451
2024-04-01,722,Food services and drinking places,94223
2024-03-01,no code,"Retail and food services sales, total",703738
2024-03-01,no code,Retail sales and food services excl motor vehicle and parts,570253
2024-03-01,no code,Retail sales and food services excl gasoline stations,649937
2024-03-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,516452
2024-03-01,no code,"Retail sales, total",610060
2024-03-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",476575
2024-03-01,no code,GAFO(1),130208
2024-03-01,441,Motor vehicle and parts dealers,133485
2024-03-01,"44,114,412",Automobile and other motor vehicle dealers,122067
2024-03-01,4413,"Automotive parts, acc., and tire stores",11418
2024-03-01,"442,443","Furniture, home furn, electronics, and appliance stores",18354
2024-03-01,442,Furniture and home furnishings stores,10743
2024-03-01,443,Electronics and appliance stores,7611
2024-03-01,444,Building mat. and garden equip. and supplies dealers,40222
2024-03-01,4441,Building mat. and supplies dealers,34904
2024-03-01,445,Food and beverage stores,82265
2024-03-01,4451,Grocery stores,73617
2024-03-01,4453,"Beer, wine and liquor stores",6045
2024-03-01,446,Health and personal care stores,36202
2024-03-01,44611,Pharmacies and drug stores,30135
2024-03-01,447,Gasoline stations,53801
2024-03-01,448,Clothing and clothing access. stores,25321
2024-03-01,4481,Clothing stores,18013
2024-03-01,44812,Women's clothing stores,3066
2024-03-01,4482,Shoe stores,3048
2024-03-01,451,"Sporting goods, hobby, musical instrument, and book stores",8316
2024-03-01,452,General merchandise stores,75835
2024-03-01,4521,Department stores,10878
2024-03-01,4529,Other general merchandise stores,64957
2024-03-01,45291,Warehouse clubs and superstores,55850
2024-03-01,45299,All other gen. merchandise stores,9107
2024-03-01,453,Miscellaneous stores retailers,15478
2024-03-01,454,Nonstore retailers,120781
2024-03-01,4541,Electronic shopping and mail order houses,111624
2024-03-01,45431,Fuel dealers,3007
2024-03-01,722,Food services and drinking places,93678
2024-02-01,no code,"Retail and food services sales, total",700519
2024-02-01,no code,Retail sales and food services excl motor vehicle and parts,566846
2024-02-01,no code,Retail sales and food services excl gasoline stations,647122
2024-02-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,513449
2024-02-01,no code,"Retail sales, total",606720
2024-02-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",473047
2024-02-01,no code,GAFO(1),130706
2024-02-01,441,Motor vehicle and parts dealers,133673
2024-02-01,"44,114,412",Automobile and other motor vehicle dealers,122433
2024-02-01,4413,"Automotive parts, acc., and tire stores",11240
2024-02-01,"442,443","Furniture, home furn, electronics, and appliance stores",18782
2024-02-01,442,Furniture and home furnishings stores,10968
2024-02-01,443,Electronics and appliance stores,7814
2024-02-01,444,Building mat. and garden equip. and supplies dealers,40301
2024-02-01,4441,Building mat. and supplies dealers,35053
2024-02-01,445,Food and beverage stores,81992
2024-02-01,4451,Grocery stores,73341
2024-02-01,4453,"Beer, wine and liquor stores",6063
2024-02-01,446,Health and personal care stores,36142
2024-02-01,44611,Pharmacies and drug stores,30212
2024-02-01,447,Gasoline stations,53397
2024-02-01,448,Clothing and clothing access. stores,25949
2024-02-01,4481,Clothing stores,18320
2024-02-01,44812,Women's clothing stores,3132
2024-02-01,4482,Shoe stores,3267
2023-11-01,447,Gasoline stations,53518
2024-02-01,451,"Sporting goods, hobby, musical instrument, and book stores",8424
2024-02-01,452,General merchandise stores,75145
2024-02-01,4521,Department stores,11063
2024-02-01,4529,Other general merchandise stores,64082
2024-02-01,45291,Warehouse clubs and superstores,54877
2024-02-01,45299,All other gen. merchandise stores,9205
2024-02-01,453,Miscellaneous stores retailers,15109
2024-02-01,454,Nonstore retailers,117806
2024-02-01,4541,Electronic shopping and mail order houses,108416
2024-02-01,45431,Fuel dealers,3196
2024-02-01,722,Food services and drinking places,93799
2024-01-01,no code,"Retail and food services sales, total",694696
2024-01-01,no code,Retail sales and food services excl motor vehicle and parts,563782
2024-01-01,no code,Retail sales and food services excl gasoline stations,642556
2024-01-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,511642
2024-01-01,no code,"Retail sales, total",601193
2024-01-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",470279
2024-01-01,no code,GAFO(1),129729
2024-01-01,441,Motor vehicle and parts dealers,130914
2024-01-01,"44,114,412",Automobile and other motor vehicle dealers,119561
2024-01-01,4413,"Automotive parts, acc., and tire stores",11353
2024-01-01,"442,443","Furniture, home furn, electronics, and appliance stores",18796
2024-01-01,442,Furniture and home furnishings stores,11159
2024-01-01,443,Electronics and appliance stores,7637
2024-01-01,444,Building mat. and garden equip. and supplies dealers,39856
2024-01-01,4441,Building mat. and supplies dealers,34611
2024-01-01,4451,Grocery stores,73296
2024-01-01,4453,"Beer, wine and liquor stores",5947
2024-01-01,446,Health and personal care stores,36358
2024-01-01,44611,Pharmacies and drug stores,30388
2024-01-01,447,Gasoline stations,52140
2024-01-01,448,Clothing and clothing access. stores,25983
2024-01-01,4481,Clothing stores,18279
2024-01-01,44812,Women's clothing stores,3053
2024-01-01,4482,Shoe stores,3320
2024-01-01,451,"Sporting goods, hobby, musical instrument, and book stores",8387
2024-01-01,452,General merchandise stores,74156
2024-01-01,4521,Department stores,11064
2024-01-01,4529,Other general merchandise stores,63092
2024-01-01,45291,Warehouse clubs and superstores,53902
2024-01-01,45299,All other gen. merchandise stores,9190
2024-01-01,453,Miscellaneous stores retailers,14749
2024-01-01,454,Nonstore retailers,118073
2024-01-01,4541,Electronic shopping and mail order houses,108650
2024-01-01,45431,Fuel dealers,3226
2024-01-01,722,Food services and drinking places,93503
2023-12-01,no code,"Retail and food services sales, total",703256
2023-12-01,no code,Retail sales and food services excl motor vehicle and parts,569502
2023-12-01,no code,Retail sales and food services excl gasoline stations,650157
2023-12-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,516403
2023-12-01,no code,"Retail sales, total",608730
2023-12-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",474976
2023-12-01,no code,GAFO(1),130176
2023-12-01,441,Motor vehicle and parts dealers,133754
2023-12-01,"44,114,412",Automobile and other motor vehicle dealers,122394
2023-12-01,4413,"Automotive parts, acc., and tire stores",11360
2023-12-01,"442,443","Furniture, home furn, electronics, and appliance stores",18561
2023-12-01,442,Furniture and home furnishings stores,11198
2023-12-01,443,Electronics and appliance stores,7363
2023-12-01,444,Building mat. and garden equip. and supplies dealers,40963
2023-12-01,4441,Building mat. and supplies dealers,35508
2023-12-01,445,Food and beverage stores,82158
2023-12-01,4451,Grocery stores,73465
2023-12-01,4453,"Beer, wine and liquor stores",6148
2023-12-01,446,Health and personal care stores,36799
2023-12-01,44611,Pharmacies and drug stores,30732
2023-12-01,447,Gasoline stations,53099
2023-12-01,448,Clothing and clothing access. stores,26147
2023-12-01,4481,Clothing stores,18491
2023-12-01,44812,Women's clothing stores,3153
2023-12-01,4482,Shoe stores,3340
2023-12-01,451,"Sporting goods, hobby, musical instrument, and book stores",8364
2023-12-01,452,General merchandise stores,74767
2023-12-01,4521,Department stores,10989
2023-12-01,4529,Other general merchandise stores,63778
2023-12-01,45291,Warehouse clubs and superstores,54725
2023-12-01,45299,All other gen. merchandise stores,9053
2023-12-01,453,Miscellaneous stores retailers,14745
2023-12-01,454,Nonstore retailers,119373
2023-12-01,4541,Electronic shopping and mail order houses,110005
2023-12-01,45431,Fuel dealers,3135
2023-12-01,722,Food services and drinking places,94526
2023-11-01,no code,"Retail and food services sales, total",700707
2023-11-01,no code,Retail sales and food services excl motor vehicle and parts,567582
2023-11-01,no code,Retail sales and food services excl gasoline stations,647189
2023-11-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,514064
2023-11-01,no code,"Retail sales, total",606035
2023-11-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",472910
2023-11-01,no code,GAFO(1),129255
2023-11-01,441,Motor vehicle and parts dealers,133125
2023-11-01,"44,114,412",Automobile and other motor vehicle dealers,121754
2023-11-01,4413,"Automotive parts, acc., and tire stores",11371
2023-11-01,"442,443","Furniture, home furn, electronics, and appliance stores",18827
2023-11-01,442,Furniture and home furnishings stores,11319
2023-11-01,443,Electronics and appliance stores,7508
2023-11-01,444,Building mat. and garden equip. and supplies dealers,40841
2023-11-01,4441,Building mat. and supplies dealers,35254
2023-11-01,445,Food and beverage stores,82181
2023-11-01,4451,Grocery stores,73583
2023-11-01,4453,"Beer, wine and liquor stores",6040
2023-11-01,446,Health and personal care stores,37455
2023-11-01,44611,Pharmacies and drug stores,31447
2023-11-01,448,Clothing and clothing access. stores,25764
2023-11-01,4481,Clothing stores,18236
2023-11-01,44812,Women's clothing stores,3127
2023-11-01,4482,Shoe stores,3288
2023-11-01,451,"Sporting goods, hobby, musical instrument, and book stores",8501
2023-11-01,452,General merchandise stores,73841
2023-11-01,4521,Department stores,10671
2023-11-01,4529,Other general merchandise stores,63170
2023-11-01,45291,Warehouse clubs and superstores,54243
2023-11-01,45299,All other gen. merchandise stores,8927
2023-11-01,453,Miscellaneous stores retailers,14747
2023-11-01,454,Nonstore retailers,117235
2023-11-01,4541,Electronic shopping and mail order houses,107786
2023-11-01,45431,Fuel dealers,3312
2023-11-01,722,Food services and drinking places,94672
2023-10-01,no code,"Retail and food services sales, total",699977
2023-10-01,no code,Retail sales and food services excl motor vehicle and parts,567694
2023-10-01,no code,Retail sales and food services excl gasoline stations,644431
2023-10-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,512148
2023-10-01,no code,"Retail sales, total",606596
2023-10-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",474313
2023-10-01,no code,GAFO(1),129246
2023-10-01,441,Motor vehicle and parts dealers,132283
2023-10-01,"44,114,412",Automobile and other motor vehicle dealers,120903
2023-10-01,4413,"Automotive parts, acc., and tire stores",11380
